Model,Parameter Count,Best Test Accuracy,Time to Best Test Accuracy,Efficiency
Minimal MLP,1479850,0.5274,8.440948963165283,0.062481126506210925
Baseline MLP,830250,0.5415,9.781320095062256,0.05536062563511816
Minimal DPN,1510570,0.5191,7.582822799682617,0.06845735601545735
Maximal DPN,1625575,0.5188,1042.935567855835,0.0004974420433916142
Free Weights DPN,1582250,0.5228,24.14853549003601,0.021649345991011086
Maximal/Pruned DPN,1625474,0.5237,1279.211751461029,0.00040939273689587777
