Model,Parameter Count,Best Test Accuracy,Time to Best Test Accuracy,Efficiency
Minimal MLP,19090,0.9647,25.492456197738647,0.03784256771952698
Baseline MLP,9706,0.9467,47.00629448890686,0.02013985595532135
Minimal DPN,26930,0.9702,18.733570098876953,0.05178938103518036
Maximal DPN,27251,0.9697,414.5448157787323,0.0023391922009165533
Free Weights DPN,27074,0.9703,50.77260875701904,0.019110698145205336
Maximal/Pruned DPN,27025,0.9693,44.01411819458008,0.022022479144415987
