Model,Parameter Count,Best Test Accuracy,Time to Best Test Accuracy,Efficiency
Minimal MLP,4231,0.7748539336020653,30.27339458465576,0.025595211380583145
Baseline MLP,10631,0.7994021468363603,42.19396138191223,0.01894588990118025
Minimal DPN,4329,0.771592916345849,33.28628349304199,0.02318050666446854
Maximal DPN,22686,0.8611350151727887,1850.0160915851593,0.00046547433781234717
Free Weights DPN,12521,0.8155713573984329,53.47236204147339,0.015252203685445434
Maximal/Pruned DPN,22543,0.8586892522306264,1494.6275868415833,0.000574517197320833
