Model,Parameter Count,Best Test Accuracy,Time to Best Test Accuracy,Efficiency
Minimal MLP,37154,0.81024,1.6458933353424072,0.49227977451615346
Baseline MLP,26786,0.80996,2.0400962829589844,0.3970204773008177
Minimal DPN,37922,0.80596,3.4184677600860596,0.23576644759104295
Maximal DPN,42483,0.80704,71.79479622840881,0.011240926117158594
Free Weights DPN,39970,0.81176,3.7150888442993164,0.2185035228015124
Maximal/Pruned DPN,42448,0.80856,87.53619027137756,0.00923686531814238
