Model,Parameter Count,Best Test Accuracy,Time to Best Test Accuracy,Efficiency
Minimal MLP,482036,0.8896356561726212,1.0044569969177246,0.8856881468321252
Baseline MLP,322804,0.8544393349840821,1.3649041652679443,0.6260068338324304
Minimal DPN,582036,0.8906968517863459,4.0974907875061035,0.21737616946015384
Maximal DPN,586786,0.8629288998938804,39.32600378990173,0.021942959282210777
Free Weights DPN,584084,0.8749557835160948,2.0260634422302246,0.43185014115499365
Maximal/Pruned DPN,582404,0.8825610187477891,2.026583194732666,0.4354921234132759
