Model,Parameter Count,Best Test Accuracy,Time to Best Test Accuracy,Efficiency
Minimal MLP,1058,0.8324022346368715,0.30085325241088867,2.766804839124766
Baseline MLP,2722,0.8268156424581006,0.6766726970672607,1.221884148779119
Minimal DPN,1074,0.8268156424581006,0.2863121032714844,2.8878124012595605
Maximal DPN,5635,0.8212290502793296,7.872649908065796,0.10431418389860733
Free Weights DPN,3122,0.8212290502793296,0.43857669830322266,1.8724867359723456
Maximal/Pruned DPN,40,0.8212290502793296,0.7015056610107422,1.1706663194935416
